"";"height";"merge.1";"merge.2"
"1";0,0153730877505962;-13;-22
"2";0,0194179611190631;-14;-18
"3";0,0200989279943311;-9;-17
"4";0,0244306748612891;-8;-21
"5";0,0254998011994804;-15;-23
"6";0,0272489555139104;-32;1
"7";0,0288216217411019;-2;-25
"8";0,0299755560305462;-26;-31
"9";0,0357524450625662;-28;-29
"10";0,0412707711097818;-19;6
"11";0,043555947129466;-30;5
"12";0,0446827683294544;2;3
"13";0,0466474881842116;-7;11
"14";0,0470336631691298;-3;7
"15";0,0518891925631403;-16;-27
"16";0,0563532205194185;-12;8
"17";0,0744785765428931;-6;4
"18";0,075241682783426;-20;13
"19";0,0805302687868281;-4;-24
"20";0,0816347491928631;14;15
"21";0,131810790261778;17;20
"22";0,149572853916726;12;19
"23";0,168832962764815;-5;21
"24";0,203414060137493;9;16
"25";0,220363589756677;-10;18
"26";0,24335654562236;22;25
"27";0,341100345262986;10;24
"28";0,390298615747495;-1;23
"29";0,557901411699346;-11;28
"30";1,23362899610263;26;29
"31";3,94491514894289;27;30
